"","pval","qval","gene","lineage"
"Zmynd15",4.83696592133582e-05,0.000200703980138416,"Zmynd15",1
"Ifi44",1.08664578099361e-07,5.60126691233817e-07,"Ifi44",1
"Cp",0.000251019746057841,0.000959922547066314,"Cp",1
"Dut",0.222167558162469,0.462849079505144,"Dut",1
"Gsr",3.92317695587827e-26,5.56479000833797e-25,"Gsr",1
"3830403N18Rik",0.953416584078967,0.999838547650833,"3830403N18Rik",1
"Plxdc2",7.62888624292179e-05,0.000308861791211408,"Plxdc2",1
"Cfb",0.00126738713483554,0.00437784847957009,"Cfb",1
"Nr1h3",4.26790030485492e-96,3.71121765639558e-94,"Nr1h3",1
"Ppp1r15a",4.30757338043845e-12,3.05501658187124e-11,"Ppp1r15a",1
"Tnfaip2",8.7708931368845e-20,9.23251909145737e-19,"Tnfaip2",1
"Hist1h2bc",0.0057743234087969,0.0175245019993836,"Hist1h2bc",1
"Atad2",0.800166291552723,0.999838547650833,"Atad2",1
"Pbk",0.98172551003334,0.999838547650833,"Pbk",1
"Ms4a8a",3.52371434131077e-15,3.01172165923997e-14,"Ms4a8a",1
"Slc20a1",0.201883202114296,0.427266036220731,"Slc20a1",1
"Cd300e",0.00308536845942427,0.00990487466909878,"Cd300e",1
"Cd69",0.0960606880686091,0.225494572931007,"Cd69",1
"Tmem119",1.26396931722977e-27,1.84521068208726e-26,"Tmem119",1
"Gm26802",0.00293788949838471,0.00947706289801519,"Gm26802",1
"AC160336.1",0.00508247482578182,0.0156143619839687,"AC160336.1",1
"Ccrl2",5.63877154536907e-07,2.72404422481598e-06,"Ccrl2",1
"S100a11",0.899471705334678,0.999838547650833,"S100a11",1
"Stab1",4.67038255160685e-56,1.55679418386895e-54,"Stab1",1
"Tspan15",4.99368598810404e-05,0.000206777887706171,"Tspan15",1
"Bhlhe40",0.465306823393963,0.809229258076457,"Bhlhe40",1
"Fbxo32",0.0184961443913902,0.0515611022283177,"Fbxo32",1
"Irf1",7.06100382508003e-26,9.94507580997188e-25,"Irf1",1
"Csrnp1",0.0284044511173026,0.0759477302601673,"Csrnp1",1
"Mcm3",0.257948683335513,0.525353733880881,"Mcm3",1
"Ehd1",1.36574541470498e-07,6.8977041146716e-07,"Ehd1",1
"Fpr2",6.36327824050806e-09,3.66759552767035e-08,"Fpr2",1
"Ifitm3",1.38344703744459e-189,3.45861759361147e-187,"Ifitm3",1
"Tgm2",1.2828225837842e-71,5.57748949471393e-70,"Tgm2",1
"Slfn5",9.18239306214489e-73,4.17381502824768e-71,"Slfn5",1
"Bcl2a1a",1.00933436735827e-07,5.21619828092128e-07,"Bcl2a1a",1
"Nfkbiz",6.61212648350122e-09,3.77835799057212e-08,"Nfkbiz",1
"Lmnb1",0.141092036502677,0.313189870150227,"Lmnb1",1
"Pmaip1",5.78000929396178e-08,3.05820597564115e-07,"Pmaip1",1
"Vat1",0.00325395520749745,0.0103794424481577,"Vat1",1
"Spc24",0.804291725644665,0.999838547650833,"Spc24",1
"Helz2",5.25267875350539e-38,1.05053575070108e-36,"Helz2",1
"Cytip",0.00215379828695491,0.00709653471813808,"Cytip",1
"Lyz1",0.624690908888005,0.972150268410697,"Lyz1",1
"Mcemp1",0.48676534857828,0.836366578313196,"Mcemp1",1
"Mmp8",0.842112634862191,0.999838547650833,"Mmp8",1
"Cx3cr1",9.84523088149093e-54,3.07663465046592e-52,"Cx3cr1",1
"Gpr141",0.213597599098733,0.446856901880194,"Gpr141",1
"Hist1h2ap",0.838408799740733,0.999838547650833,"Hist1h2ap",1
"Cenpe",0.705175833832644,0.999838547650833,"Cenpe",1
"Mt1",1.11093786983431e-66,4.53444028503801e-65,"Mt1",1
"Hells",0.57959853186189,0.928100131083892,"Hells",1
"Stat1",2.45499537549921e-104,2.2531045989729e-102,"Stat1",1
"Rrad",0.0927572845053486,0.219284360532739,"Rrad",1
"Ciita",1.74091594769754e-33,3.08126716406644e-32,"Ciita",1
"Dusp5",0.340713075058056,0.65083681959514,"Dusp5",1
"Lyz2",1.74991161187323e-07,8.77148677630694e-07,"Lyz2",1
"Lmna",0.0249589920060858,0.0675480162546301,"Lmna",1
"Adrb1",1.10411281252312e-05,4.85324313196978e-05,"Adrb1",1
"Ldlr",0.000137227596119614,0.000540266126455174,"Ldlr",1
"Gm26917",0.000688902757283248,0.00248253245867837,"Gm26917",1
"Anpep",0.0799440189294503,0.191868502528191,"Anpep",1
"Esco2",0.99214206762984,0.999838547650833,"Esco2",1
"Nr4a1",0.0572682213769465,0.142281295346451,"Nr4a1",1
"E2f8",0.876179267720718,0.999838547650833,"E2f8",1
"Selenop",1.2585291959575e-11,8.5906429758191e-11,"Selenop",1
"Pltp",5.73391894038896e-79,3.27652510879369e-77,"Pltp",1
"Cdc42ep2",0.000737168788177161,0.00264692563079771,"Cdc42ep2",1
"Clec10a",0.349787894612849,0.662407690907534,"Clec10a",1
"Gm34084",6.4228868767411e-06,2.84828686329982e-05,"Gm34084",1
"Mmp2",3.44105192188631e-08,1.85501451314626e-07,"Mmp2",1
"Usp18",0.000210585996144556,0.000815851274449526,"Usp18",1
"Igfbp4",0.927029945314022,0.999838547650833,"Igfbp4",1
"Fam46c",1.92056180124178e-23,2.4942361055088e-22,"Fam46c",1
"Slc1a3",0.291938173863357,0.57734456178622,"Slc1a3",1
"Ralgds",0.134638911555447,0.301880967613111,"Ralgds",1
"Crip2",0.0185104356999661,0.0515611022283177,"Crip2",1
"Kif11",0.990475626595102,0.999838547650833,"Kif11",1
"Gm17056",5.32652185803456e-05,0.000219198430371793,"Gm17056",1
"Nfkbid",0.0100140807805291,0.0292809379547633,"Nfkbid",1
"Tagln2",0.010849432962992,0.0314932742031698,"Tagln2",1
"Emb",2.81339062414798e-40,6.11606657423475e-39,"Emb",1
"Sema6d",8.24288729930881e-11,5.35252422033039e-10,"Sema6d",1
"Syce2",0.631361329120709,0.973571825937871,"Syce2",1
"Fam71a",0.000684602400136393,0.00247148880915665,"Fam71a",1
"Nupr1",0.10948091369309,0.251969881917352,"Nupr1",1
"Clic4",7.33394468608674e-12,5.07539424642681e-11,"Clic4",1
"Runx3",3.76532348949779e-23,4.70665436187223e-22,"Runx3",1
"Fgl2",1.16417325814086e-32,2.0246491445928e-31,"Fgl2",1
"Rhoc",0.000544529935869035,0.00198733553236874,"Rhoc",1
"Gda",1.068727771688e-49,2.96868825468889e-48,"Gda",1
"Tlr2",5.20403451748705e-12,3.63918497726367e-11,"Tlr2",1
"Tuba1b",0.00282779842759089,0.00915145122197701,"Tuba1b",1
"Ptger4",2.76474128494566e-05,0.000115922066454745,"Ptger4",1
"Slamf7",3.20603731706236e-09,1.90835554587045e-08,"Slamf7",1
"Rrm1",0.939471192863188,0.999838547650833,"Rrm1",1
"Ddhd1",2.00182521851249e-22,2.36902392723371e-21,"Ddhd1",1
"Id3",4.4914127046351e-190,1.28326077275288e-187,"Id3",1
"H2afx",0.745725687783408,0.999838547650833,"H2afx",1
"Fth1",2.95358534248158e-14,2.41109007549517e-13,"Fth1",1
"Gcnt2",0.00643096041856273,0.0194288834397666,"Gcnt2",1
"Mcm2",0.662095688539787,0.992647209205078,"Mcm2",1
"Gm26532",0.00390637699864883,0.0123424233764576,"Gm26532",1
"Ifi205",1.96694522182475e-05,8.38782610586249e-05,"Ifi205",1
"Sod2",6.58072323020888e-08,3.4635385422152e-07,"Sod2",1
"Xlr",0.344354169777903,0.65528861993892,"Xlr",1
"Ckap2l",0.642029498200834,0.977956213752432,"Ckap2l",1
"Cstb",0.0219036114743271,0.0599278015713463,"Cstb",1
"Bub1b",0.940960708610086,0.999838547650833,"Bub1b",1
"Cdk1",0.895008219928549,0.999838547650833,"Cdk1",1
"Epb41l3",0.0021483410657065,0.00709023454028548,"Epb41l3",1
"Cd55",0.400292411968995,0.733808271253886,"Cd55",1
"Chchd10",0.684607971019708,0.999838547650833,"Chchd10",1
"Clec4b1",3.36926597757519e-06,1.52111330816036e-05,"Clec4b1",1
"Etv3",0.26207389159749,0.532512654979767,"Etv3",1
"Actn1",3.67598602294114e-21,4.10724695300686e-20,"Actn1",1
