"","pval","qval","gene","lineage"
"Klrk1",0.00454545097151953,0.0141382611866859,"Klrk1",1
"Igf2r",0.0866722595922508,0.206855034826374,"Igf2r",1
"Amz1",0.000301629963263353,0.00113995550603435,"Amz1",1
"Rilpl2",0.00341264686799672,0.0108683021273781,"Rilpl2",1
"Sdf2l1",3.0538946689999e-14,2.48284119430886e-13,"Sdf2l1",1
"Ifi209",1.53121835965708e-15,1.34317399969919e-14,"Ifi209",1
"Maff",0.328946764575786,0.634397972035198,"Maff",1
"Tpm4",0.000826989478948932,0.00294826908716197,"Tpm4",1
"Dusp6",0.0100974218423907,0.029438547645454,"Dusp6",1
"Speg",0.993075387878209,0.999838547650833,"Speg",1
"Asph",5.86370178407624e-05,0.000240137090500253,"Asph",1
"Gbp8",4.83350308769299e-16,4.33498034770672e-15,"Gbp8",1
"B930036N10Rik",0.48007035070699,0.827707501218949,"B930036N10Rik",1
"Cd300lb",0.00179183491428362,0.00601286883987792,"Cd300lb",1
"Vill",0.338314081370171,0.648271453737627,"Vill",1
"Hs3st3b1",0.852843717156245,0.999838547650833,"Hs3st3b1",1
"Gm43936",0.959910812986963,0.999838547650833,"Gm43936",1
"Pkp4",0.00100613466704288,0.00351795338126881,"Pkp4",1
"Srm",0.410235206730699,0.744528505863337,"Srm",1
"Sema4a",0.0498817911024132,0.126283015449147,"Sema4a",1
"Exosc2",0.728294765458432,0.999838547650833,"Exosc2",1
"Ece1",0.00872880211462267,0.0259399765664864,"Ece1",1
"Cox4i2",0.965277780916403,0.999838547650833,"Cox4i2",1
"Pmf1",0.0965978950497791,0.226224578570911,"Pmf1",1
"Ybx3",0.930839550193282,0.999838547650833,"Ybx3",1
"Aurkb",0.921315124631078,0.999838547650833,"Aurkb",1
"Slc1a2",0.596548306762833,0.948107791718291,"Slc1a2",1
"Arhgap31",0.384085007036079,0.711927723885226,"Arhgap31",1
"Ckap4",0.278986476802489,0.556304041480536,"Ckap4",1
"Cbx5",0.544354146427704,0.890923316575621,"Cbx5",1
"Rfc5",0.724989555711814,0.999838547650833,"Rfc5",1
"Samhd1",2.25430867239452e-64,9.01723468957808e-63,"Samhd1",1
"Nrip1",0.00387411187006383,0.0122598476900754,"Nrip1",1
"Pitpnc1",1.34150087457519e-08,7.47354247674199e-08,"Pitpnc1",1
"Ifi203",7.09609764367129e-39,1.46311291622089e-37,"Ifi203",1
"Plp2",0.532598638550259,0.880328328182246,"Plp2",1
"Tubb6",0.426663773468604,0.765316185593909,"Tubb6",1
"Cd300ld",1.21898778791296e-47,3.29456158895394e-46,"Cd300ld",1
"Hmgn5",0.613354434507884,0.96212901110471,"Hmgn5",1
"Pa2g4",0.115382209301899,0.263730764118626,"Pa2g4",1
"Smc4",0.382689357274849,0.710658045078642,"Smc4",1
"St3gal6",0.222508447929963,0.463076894755386,"St3gal6",1
"Fyn",0.0521855894893734,0.131284501860059,"Fyn",1
"Rgl1",7.92591427121764e-15,6.67405785193373e-14,"Rgl1",1
"Raph1",0.0120102496561445,0.0346616151692482,"Raph1",1
"Psap",7.54203884658377e-18,7.11513098734318e-17,"Psap",1
"Acly",2.06575584100913e-08,1.13192100877212e-07,"Acly",1
"Pole",0.802125465609,0.999838547650833,"Pole",1
"Sort1",0.183456502455605,0.392840476350332,"Sort1",1
"Slc43a3",0.967896580057316,0.999838547650833,"Slc43a3",1
"Kif3a",0.714791556738615,0.999838547650833,"Kif3a",1
"Lockd",0.972328321803987,0.999838547650833,"Lockd",1
"Pdgfa",0.00356792225404521,0.0113447448459307,"Pdgfa",1
"Trim25",1.38944987614229e-18,1.34898046227406e-17,"Trim25",1
"AW011738",0.476726893127943,0.823362509720109,"AW011738",1
"Fgr",1.73978297345099e-17,1.63359903610422e-16,"Fgr",1
"Lipa",4.4767371122464e-32,7.65254207221608e-31,"Lipa",1
"Camkk2",0.043036159028954,0.110632799560293,"Camkk2",1
"Dmwd",0.290240878152367,0.574734412182905,"Dmwd",1
"Tspo",0.64864795379045,0.984552117963962,"Tspo",1
"Tsc22d3",1.19253391960609e-05,5.20757170133663e-05,"Tsc22d3",1
"Zfp703",1.41351677775805e-05,6.11912025003486e-05,"Zfp703",1
"Bex3",0.0514402964264867,0.129572535079312,"Bex3",1
"Rab7b",0.0208959851413394,0.0574065525860971,"Rab7b",1
"Gmnn",0.686087837379136,0.999838547650833,"Gmnn",1
"Gramd1b",0.143196360962468,0.316806108324045,"Gramd1b",1
"Ctsf",0.262262482577535,0.532512654979767,"Ctsf",1
"Alas1",0.0742427351328576,0.180419769460164,"Alas1",1
"Pik3r1",0.000435734564660226,0.00160787662236246,"Pik3r1",1
"Cntln",0.92259096584178,0.999838547650833,"Cntln",1
"Cd244",0.667883006675252,0.997584774720316,"Cd244",1
"Irgm2",1.14269534222196e-07,5.84498896277219e-07,"Irgm2",1
"Casp4",0.035801448274889,0.0938439011137327,"Casp4",1
"Slc38a2",0.00125495595451024,0.00434993398443756,"Slc38a2",1
"Gpr35",0.208367713905183,0.437747298120133,"Gpr35",1
"Ddx60",5.22299697236894e-07,2.54160436611627e-06,"Ddx60",1
"Card19",0.000405091767571897,0.00150591735156839,"Card19",1
"Gclc",0.430005552936024,0.769929369625826,"Gclc",1
"Cdk6",0.194106135477258,0.41255289155634,"Cdk6",1
"Ube2l6",2.36095289551899e-07,1.17753261621895e-06,"Ube2l6",1
"Syn1",0.6894421078906,0.999838547650833,"Syn1",1
"Chil3",1.34800787105989e-34,2.45092340192707e-33,"Chil3",1
"Saa3",6.05748547935766e-11,3.9721216258083e-10,"Saa3",1
"Arg1",1.10567698450749e-27,1.62599556545219e-26,"Arg1",1
"Gdf15",0.0618965928336292,0.152454662151796,"Gdf15",1
"Fabp4",0.448063952305053,0.790236247451593,"Fabp4",1
"Il10",0.0712290682923159,0.173517827752292,"Il10",1
"Serpine1",0.45265194759383,0.795521876263321,"Serpine1",1
"Ednrb",0.0293736501949859,0.0782254332755949,"Ednrb",1
"Cbr2",0.362677385056246,0.683008258109691,"Cbr2",1
"Ccl6",6.8588201357994e-107,6.8588201357994e-105,"Ccl6",1
"S100a9",0.565674368988223,0.915330694155701,"S100a9",1
"Chka",0.141072554657791,0.313189870150227,"Chka",1
"Tnfsf9",0.0137434754248093,0.0393232487119006,"Tnfsf9",1
"Lyve1",0.819198920287785,0.999838547650833,"Lyve1",1
"Mgl2",3.49974713913e-27,5.03560739443166e-26,"Mgl2",1
"S100a8",0.108302533950207,0.250108746652333,"S100a8",1
"Thbs1",3.03591400116064e-12,2.1841107922019e-11,"Thbs1",1
"Lrg1",0.139915933130299,0.31196417643322,"Lrg1",1
"Ly6i",0.127884853477654,0.28835367187746,"Ly6i",1
"F7",0.149710385916871,0.329758559288261,"F7",1
"Ltc4s",3.26131542439317e-07,1.60655932236117e-06,"Ltc4s",1
"Cd24a",0.840243406443574,0.999838547650833,"Cd24a",1
"Atp6v0d2",0.317590025106974,0.618481061552043,"Atp6v0d2",1
"Ttc39c",2.81761354289039e-13,2.1345557143109e-12,"Ttc39c",1
"Ass1",0.0689165600362038,0.168602019827365,"Ass1",1
"Vegfa",0.16336822154442,0.35553475852975,"Vegfa",1
"Mt2",1.64143808399169e-07,8.26920949114203e-07,"Mt2",1
"G0s2",0.648819845738251,0.984552117963962,"G0s2",1
"Gm19951",0.124021116870271,0.281866174705162,"Gm19951",1
"H2-Aa",0,0,"H2-Aa",1
"Cd74",0,0,"Cd74",1
"Gm20186",0.373932960622366,0.698287508165016,"Gm20186",1
"Prg4",0.214572240532521,0.448426834968696,"Prg4",1
"Sox4",4.97493343124548e-06,2.22095242466316e-05,"Sox4",1
"Ube2c",0.484327287029954,0.83289301294919,"Ube2c",1
"Egr3",0.34318089467544,0.654301038466043,"Egr3",1
"Emp1",0.162072299333687,0.353098691358795,"Emp1",1
"Jaml",1.10442876300688e-71,4.90857228003058e-70,"Jaml",1
"Prtn3",0.267882931313978,0.540631546546878,"Prtn3",1
"Cdc20",0.956159527955293,0.999838547650833,"Cdc20",1
"Alox15",0.445945950169554,0.788587002952349,"Alox15",1
"Gadd45a",0.526612536660516,0.874771655582252,"Gadd45a",1
"AA467197",0.0485670250934278,0.123110329767878,"AA467197",1
"Clec4d",0.0473510657117382,0.120639657864301,"Clec4d",1
"Bambi",0.615330445233558,0.963712521900639,"Bambi",1
"Apold1",0.961703648996419,0.999838547650833,"Apold1",1
"Il1r2",0.000255671111811364,0.000973985187852817,"Il1r2",1
"Kcna2",0.000562517375502246,0.00204551772909908,"Kcna2",1
"Mmp9",0.426042371152126,0.764887560416743,"Mmp9",1
"Retnla",0.722371943883538,0.999838547650833,"Retnla",1
"Tpx2",0.87052812797951,0.999838547650833,"Tpx2",1
"Il4i1",0.498157733485841,0.847879552181477,"Il4i1",1
"Scd1",0.0019154354516641,0.00638478483888035,"Scd1",1
"Wfdc21",0.634206402310612,0.974952194174653,"Wfdc21",1
"Lcn2",0.727556830545405,0.999838547650833,"Lcn2",1
"Ifitm1",0.269898963532113,0.543056264652138,"Ifitm1",1
"Ifi27l2a",4.98587997818025e-149,8.30979996363374e-147,"Ifi27l2a",1
"Tubb4b",0.531608525801382,0.879418570391038,"Tubb4b",1
"Cd72",1.37087746534451e-39,2.91676056456278e-38,"Cd72",1
"Ifit3b",0.00207530168949552,0.00687185989899179,"Ifit3b",1
"Ptgis",0.0733300622664819,0.178418642984141,"Ptgis",1
"Hmmr",0.915852855465415,0.999838547650833,"Hmmr",1
"Lepr",0.460368208634994,0.805543672152221,"Lepr",1
"Cenpf",0.888149252093705,0.999838547650833,"Cenpf",1
"Gpx3",1.88504251722319e-22,2.24409823478951e-21,"Gpx3",1
"Clec1a",0.907773074022481,0.999838547650833,"Clec1a",1
"Rnd1",0.569987934116356,0.919335377607026,"Rnd1",1
"Cxcl3",0.823619744329536,0.999838547650833,"Cxcl3",1
"Rgcc",0.89356360470648,0.999838547650833,"Rgcc",1
"Glipr2",0.520787547111315,0.868703164489267,"Glipr2",1
"Pglyrp1",0.835944085961179,0.999838547650833,"Pglyrp1",1
"Cited2",2.23152945641334e-11,1.49266184375474e-10,"Cited2",1
"Icam2",0.0369091888206965,0.0963559261249664,"Icam2",1
"Med21",0.661771735973543,0.992647209205078,"Med21",1
"Cd209f",0.828870934750932,0.999838547650833,"Cd209f",1
"Nusap1",0.941226801237006,0.999838547650833,"Nusap1",1
"Plk1",0.989036104453868,0.999838547650833,"Plk1",1
"H2afz",1.07273820924615e-12,7.83020590690622e-12,"H2afz",1
"Nr4a3",0.303817554744396,0.596305308624918,"Nr4a3",1
"Irf7",4.3497124081681e-150,7.90856801485109e-148,"Irf7",1
"Odc1",0.010432750019471,0.0303277616845088,"Odc1",1
"Sgk1",0.0378589695242753,0.0982074436427374,"Sgk1",1
"Gem",0.958434595857896,0.999838547650833,"Gem",1
"Ddit4",1.94128659444786e-12,1.40672941626656e-11,"Ddit4",1
"Efnb2",0.787267475715377,0.999838547650833,"Efnb2",1
"Plekhg2",0.842502609299609,0.999838547650833,"Plekhg2",1
"Ctsl",3.15855549063355e-74,1.57927774531678e-72,"Ctsl",1
"Gpr171",0.018338318225605,0.0512243525854889,"Gpr171",1
"Olr1",0.903553996522999,0.999838547650833,"Olr1",1
"Sell",0.543602480098701,0.890923316575621,"Sell",1
"Kazald1",0.542304579278647,0.889753206363654,"Kazald1",1
"Thbd",0.21790052235648,0.454907144794321,"Thbd",1
"Gm26870",0.934704518183558,0.999838547650833,"Gm26870",1
"Slc16a3",0.0198573872220357,0.0550066128034229,"Slc16a3",1
"Selp",0.839211559594568,0.999838547650833,"Selp",1
"Cadm1",2.2586075576809e-13,1.73073376067502e-12,"Cadm1",1
"Trem1",0.0453723463756516,0.116190387645715,"Trem1",1
"Itgam",1.25043151634429e-22,1.53427179919544e-21,"Itgam",1
"Areg",0.845757225405174,0.999838547650833,"Areg",1
"Rnd3",0.406678669533032,0.740762603885304,"Rnd3",1
"Padi4",0.767847091984801,0.999838547650833,"Padi4",1
"Egln3",0.935462280426632,0.999838547650833,"Egln3",1
"Ccl22",0.842596840217089,0.999838547650833,"Ccl22",1
"Mif",0.0160939120957615,0.0453989057708364,"Mif",1
"Pcolce2",0.006890543695703,0.0206923234105195,"Pcolce2",1
"Pdcd1lg2",0.539298130438761,0.886274659718588,"Pdcd1lg2",1
"Rpl39l",0.917325881712806,0.999838547650833,"Rpl39l",1
"Serpinb2",0.607945062433928,0.959650008045487,"Serpinb2",1
"Hist1h4d",0.973055604850705,0.999838547650833,"Hist1h4d",1
"Tspan13",7.58316429602451e-06,3.35538243186925e-05,"Tspan13",1
"Id2",6.56855796649999e-51,1.85029801873239e-49,"Id2",1
"Bcl2l11",0.135403538329993,0.303255404994385,"Bcl2l11",1
"Prdx1",0.00208835563043044,0.00690365497662956,"Prdx1",1
"Rad54l",0.951651793890899,0.999838547650833,"Rad54l",1
"Fam43a",0.000676588378303315,0.00244697424341163,"Fam43a",1
"Clec2g",0.843568428574871,0.999838547650833,"Clec2g",1
"Spint1",1.69118771516166e-20,1.83824751648006e-19,"Spint1",1
"Kcnn4",0.150859813016913,0.331924781115319,"Kcnn4",1
"Ccr1",1.08422798673552e-38,2.21271017701128e-37,"Ccr1",1
"Ccnf",0.984441099671314,0.999838547650833,"Ccnf",1
"Txnrd1",0.000416380456094584,0.00154214983738735,"Txnrd1",1
"Npl",0.0289145803782738,0.0771055476753967,"Npl",1
"Lif",0.894349669145129,0.999838547650833,"Lif",1
"Tnfaip3",8.92050053597774e-05,0.000358973864626871,"Tnfaip3",1
"Aspa",0.103175611492187,0.239943282539969,"Aspa",1
"Trim35",0.0186019108062728,0.0517438409075737,"Trim35",1
"Kif20a",0.974891973996189,0.999838547650833,"Kif20a",1
"Itga6",1.58278758687388e-21,1.79862225781122e-20,"Itga6",1
"Hgsnat",0.00780363617604643,0.0233292561316784,"Hgsnat",1
"Rtp4",2.64566011198352e-52,7.78135327053976e-51,"Rtp4",1
"Oas3",3.71218393847838e-22,4.36727522173927e-21,"Oas3",1
"Irf8",1.13971132266034e-07,5.84467344954018e-07,"Irf8",1
"Gm45716",0.497874610212018,0.847879552181477,"Gm45716",1
"Ifit1bl1",0.72537835102887,0.999838547650833,"Ifit1bl1",1
"Cfh",3.96282183555422e-09,2.35182304780666e-08,"Cfh",1
"Igf1",3.37005540919849e-35,6.29916898915605e-34,"Igf1",1
"H2afv",0.0055786958348524,0.0169565222943842,"H2afv",1
"Timp2",0.00248574941162568,0.00810553858337786,"Timp2",1
"Tma16",0.633508986362793,0.974629209788913,"Tma16",1
"Naaa",0.0344193234663018,0.0903394316700836,"Naaa",1
"Ackr3",0.905319613102568,0.999838547650833,"Ackr3",1
"Fdps",0.00518228088061043,0.0158722232177961,"Fdps",1
"Sqstm1",0.0926424321915044,0.219272028855632,"Sqstm1",1
"Rad51",0.951981433927851,0.999838547650833,"Rad51",1
"Trem2",1.87053738653396e-60,6.80195413285075e-59,"Trem2",1
"Gpr183",3.96034387287485e-13,2.97770216005628e-12,"Gpr183",1
"H2-Q7",7.65783142811598e-32,1.29793753018915e-30,"H2-Q7",1
"Siglece",5.29060939037481e-14,4.21562501225084e-13,"Siglece",1
"Ubd",0.892516048656796,0.999838547650833,"Ubd",1
"Alb",0.00202098015735076,0.00670308509900751,"Alb",1
"Hist1h3d",0.908317480810624,0.999838547650833,"Hist1h3d",1
"Colec12",0.609289100758505,0.960266510257691,"Colec12",1
"Hspa5",1.92437276878469e-40,4.27638393063264e-39,"Hspa5",1
"Lag3",0.0922455710799539,0.218591400663398,"Lag3",1
"Flnb",0.248268501557895,0.508226205850348,"Flnb",1
"Clec9a",0.188194360635692,0.401267293466294,"Clec9a",1
"Alcam",0.887847059354127,0.999838547650833,"Alcam",1
"Ankrd33b",0.720162199428138,0.999838547650833,"Ankrd33b",1
"Inhba",0.976869573218644,0.999838547650833,"Inhba",1
"Rnase2a",0.955001660364153,0.999838547650833,"Rnase2a",1
"Slc36a2",0.880303897551672,0.999838547650833,"Slc36a2",1
"Pianp",0.601158192297232,0.953462636474595,"Pianp",1
"Sdc3",2.96190951419183e-203,9.87303171397276e-201,"Sdc3",1
"Vdr",0.607063827947016,0.959026584434465,"Vdr",1
"AY036118",1.97404266270521e-77,1.06705008794876e-75,"AY036118",1
"Phf11d",1.67167322718757e-05,7.17456320681362e-05,"Phf11d",1
"Pdpn",0.935308599274826,0.999838547650833,"Pdpn",1
"Mybl2",0.97831438462985,0.999838547650833,"Mybl2",1
"Tmem26",0.000439361812558956,0.00161827555270334,"Tmem26",1
"Ung",0.813329667074,0.999838547650833,"Ung",1
"Cd300lg",0.832642879025285,0.999838547650833,"Cd300lg",1
"Fgb",0.882903519162594,0.999838547650833,"Fgb",1
"Errfi1",0.636897725954427,0.976837002997588,"Errfi1",1
"Car6",0.927995725315499,0.999838547650833,"Car6",1
"F5",0.789451078764,0.999838547650833,"F5",1
"Ahr",0.000100007191181649,0.000399230304118359,"Ahr",1
"Acot1",0.235254617763873,0.485061067554378,"Acot1",1
"Gm3336",0.960040486135482,0.999838547650833,"Gm3336",1
"Nxpe5",0.372123613930848,0.69555815688009,"Nxpe5",1
"Fcgr2b",5.93250941448504e-21,6.48361684643173e-20,"Fcgr2b",1
"Pgk1",5.227627454594e-09,3.04817927381574e-08,"Pgk1",1
"Lat2",4.14391128501784e-21,4.60434587224204e-20,"Lat2",1
"Treml4",2.61210914881257e-19,2.62523532543977e-18,"Treml4",1
"Spn",0.9345122640501,0.999838547650833,"Spn",1
"Gm44751",0.819665697490433,0.999838547650833,"Gm44751",1
"Ube2s",0.803598107970371,0.999838547650833,"Ube2s",1
"Tarm1",0.794511916801984,0.999838547650833,"Tarm1",1
"Isg20",0.402138405983709,0.734450897973426,"Isg20",1
"Ncapg",0.988584773876983,0.999838547650833,"Ncapg",1
"Tuba1a",0.0463974705178459,0.118512057516848,"Tuba1a",1
"Acsl1",0.684121062035532,0.999838547650833,"Acsl1",1
"Tlr12",7.94212884380113e-15,6.67405785193373e-14,"Tlr12",1
"Cit",0.991826650536199,0.999838547650833,"Cit",1
"Nsd2",0.602651157410405,0.953561957927856,"Nsd2",1
"Adrb2",0.0234359352400826,0.0637712523539662,"Adrb2",1
"Ndrg1",0.917309617420678,0.999838547650833,"Ndrg1",1
"Hivep3",0.00698078085977231,0.0209318766409964,"Hivep3",1
"Epha2",0.764978519073895,0.999838547650833,"Epha2",1
"Ctsk",0.895583136135611,0.999838547650833,"Ctsk",1
"Rnase4",8.56180741778201e-43,2.08824571165415e-41,"Rnase4",1
"Hist1h1b",0.914297040819394,0.999838547650833,"Hist1h1b",1
"Hey1",0.39762313857516,0.730253698026005,"Hey1",1
"Noct",0.028834081133139,0.0769935410764726,"Noct",1
"Plxna1",0.702462204979167,0.999838547650833,"Plxna1",1
"Dusp1",4.30382832744491e-12,3.05501658187124e-11,"Dusp1",1
"Emp3",0.0372574991035397,0.0968985672393751,"Emp3",1
"Plin2",1.37506893830336e-11,9.35421046464868e-11,"Plin2",1
"Tcf19",0.974331737514264,0.999838547650833,"Tcf19",1
"Ncapd2",0.812521653582313,0.999838547650833,"Ncapd2",1
"Tacc3",0.727649832850803,0.999838547650833,"Tacc3",1
"Alox5",0.446364815030299,0.788630415247878,"Alox5",1
"Tpi1",0.00426337741649269,0.0133636816060438,"Tpi1",1
"Bst1",0.125387060500217,0.284647129398904,"Bst1",1
"Adm",0.763329533664607,0.999838547650833,"Adm",1
"Itgb7",0.46279428957167,0.806459641189294,"Itgb7",1
"Lsmem1",0.775050589136121,0.999838547650833,"Lsmem1",1
"Fos",2.4697362823685e-09,1.47888400141826e-08,"Fos",1
"Tiparp",0.754880186555016,0.999838547650833,"Tiparp",1
"Klf6",0.000139207400909832,0.000546983893555331,"Klf6",1
"Cd22",0.411667044098332,0.746449762644301,"Cd22",1
"Tgfbi",1.04034595648036e-53,3.20106448147803e-52,"Tgfbi",1
"Cela1",0.000113501704076152,0.000449511699311493,"Cela1",1
"Chaf1a",0.862676098497912,0.999838547650833,"Chaf1a",1
"Plbd1",3.47084252591103e-30,5.38115120296284e-29,"Plbd1",1
"Smad7",0.00523512012205398,0.0160095416576574,"Smad7",1
"Rbm3",1.00152364640968e-127,1.43074806629955e-125,"Rbm3",1
"Cep55",0.986562194894272,0.999838547650833,"Cep55",1
"Selenoh",5.10006121876983e-05,0.000210311802835869,"Selenoh",1
"Dnajb1",0.270385617142766,0.543488677673902,"Dnajb1",1
"Mfge8",0.0164402904049391,0.0461805910251097,"Mfge8",1
"Nucks1",0.671927797239825,0.999838547650833,"Nucks1",1
"Spag5",0.99556852320467,0.999838547650833,"Spag5",1
"Aldoa",3.9049663676975e-07,1.91419919985171e-06,"Aldoa",1
"Hmgb1",4.62335196454252e-17,4.28088144865048e-16,"Hmgb1",1
"Hbb-bt",0.999731976675495,0.999838547650833,"Hbb-bt",1
"Btg2",0.0218488462354284,0.0598598526998038,"Btg2",1
"Engase",2.71314977951856e-09,1.61979091314541e-08,"Engase",1
"Irs2",2.04120314796999e-05,8.66752929074306e-05,"Irs2",1
"Pbxip1",4.38614328548393e-05,0.000182755970228497,"Pbxip1",1
"Cnrip1",0.897924404408508,0.999838547650833,"Cnrip1",1
"Rad51ap1",0.95571859124647,0.999838547650833,"Rad51ap1",1
"Zfp622",0.113250674134284,0.259451716229745,"Zfp622",1
"Pkmyt1",0.835113584904025,0.999838547650833,"Pkmyt1",1
"Msmo1",0.0800024555502628,0.191868502528191,"Msmo1",1
"Rcn3",0.762875560839709,0.999838547650833,"Rcn3",1
"Ntpcr",1.96215939573188e-28,2.95061563267951e-27,"Ntpcr",1
"Hist4h4",0.752282651455576,0.999838547650833,"Hist4h4",1
"Samsn1",0.273777070101344,0.548102242445133,"Samsn1",1
"Cebpd",0.0177893458800232,0.0497604080560089,"Cebpd",1
"Neil3",0.988761376271651,0.999838547650833,"Neil3",1
"Bcam",0.886718948987671,0.999838547650833,"Bcam",1
"Dnmt1",0.720552000617917,0.999838547650833,"Dnmt1",1
"Slbp",0.732146164369403,0.999838547650833,"Slbp",1
"Card11",0.0950900890777976,0.223478470218091,"Card11",1
"Bcar3",0.512606426623903,0.861417233131913,"Bcar3",1
"Cers6",1.91784080392676e-08,1.05958055465567e-07,"Cers6",1
"Htra3",0.00126348362865391,0.00437191567008272,"Htra3",1
"Ccno",0.944722637900949,0.999838547650833,"Ccno",1
"Cenph",0.917241441579836,0.999838547650833,"Cenph",1
"Lsm2",0.664611345799898,0.995672428164641,"Lsm2",1
"Myo10",0.198224815824152,0.419967830135916,"Myo10",1
"Gpx1",7.04454195176157e-37,1.38128273563952e-35,"Gpx1",1
"Kcnj16",0.306865727584668,0.601108183319624,"Kcnj16",1
"Blnk",1.32441083551459e-06,6.24722092223862e-06,"Blnk",1
"C77080",0.939632945975913,0.999838547650833,"C77080",1
"Sult1a1",1.17874220628085e-19,1.23428503275482e-18,"Sult1a1",1
"H2-DMb1",1.49933205899454e-91,1.19946564719563e-89,"H2-DMb1",1
"Cish",0.512821667363742,0.861417233131913,"Cish",1
"Gapdh",0.537274337049948,0.885130703541924,"Gapdh",1
"Gm48065",0.849486327966886,0.999838547650833,"Gm48065",1
"Cdt1",0.502330433375453,0.851407514195683,"Cdt1",1
"Lilra5",9.29692046884557e-09,5.20835880607595e-08,"Lilra5",1
"Ephx1",0.0574941632793385,0.142665417566597,"Ephx1",1
"Fchsd2",0.269566653222879,0.542933843349202,"Fchsd2",1
"Chd7",0.00680242187577323,0.0204892225173892,"Chd7",1
"Fxyd2",0.469731140671897,0.814798162483776,"Fxyd2",1
"Trpm2",7.94757352517675e-14,6.25793190958799e-13,"Trpm2",1
"Adcy3",0.424838323693057,0.763411183635323,"Adcy3",1
"Fen1",0.544149775727298,0.890923316575621,"Fen1",1
"Tgfb3",0.800810952897078,0.999838547650833,"Tgfb3",1
"Uhrf2",0.127490866153827,0.28797405992616,"Uhrf2",1
"Gm1673",0.626534505887282,0.972150268410697,"Gm1673",1
"Ifi206",3.68004717096758e-08,1.97321564126948e-07,"Ifi206",1
"Ninj1",4.3371356292662e-22,5.07267325060374e-21,"Ninj1",1
"Ulbp1",0.98262400117216,0.999838547650833,"Ulbp1",1
"Eps8",3.25961513417844e-20,3.50496250986929e-19,"Eps8",1
"Jund",0.0174999756840152,0.049019539731135,"Jund",1
"Ccdc34",0.0463204849703867,0.11846671347925,"Ccdc34",1
"Hsp90aa1",9.93801144216848e-14,7.76407143919412e-13,"Hsp90aa1",1
"Olfm1",0.0667570711340561,0.164022287798664,"Olfm1",1
"Selenom",0.180593397278304,0.387539479137991,"Selenom",1
"Ifi213",1.50662684619091e-09,9.13107179509642e-09,"Ifi213",1
"Mid1ip1",0.683593049311033,0.999838547650833,"Mid1ip1",1
"Anln",0.909762253761357,0.999838547650833,"Anln",1
"Lilr4b",2.37594049738864e-07,1.18205994894957e-06,"Lilr4b",1
"Hebp1",0.0164011199515983,0.0461353585136379,"Hebp1",1
"Hsph1",0.00862537846242632,0.0256707692334117,"Hsph1",1
"Tmcc3",7.6916335902646e-20,8.1392948045128e-19,"Tmcc3",1
"Dst",0.00682329485160471,0.0205211875236232,"Dst",1
"Hat1",0.530021387809046,0.878245878722528,"Hat1",1
"Gfra2",0.338734186192759,0.648295093191883,"Gfra2",1
"Nuf2",0.977088089521983,0.999838547650833,"Nuf2",1
"Pkm",0.0236056903841708,0.0641458977830729,"Pkm",1
"Ttk",0.999838547650833,0.999838547650833,"Ttk",1
"Icosl",0.136078864071362,0.304426988973965,"Icosl",1
"Ncapg2",0.640543512298393,0.977956213752432,"Ncapg2",1
"Rab11fip1",0.501676140177974,0.85101974584898,"Rab11fip1",1
"Rasgrp2",1.48332899511725e-10,9.41796187376033e-10,"Rasgrp2",1
"Pecam1",0.000884850368815295,0.00314334056417512,"Pecam1",1
"Ftl1",2.66909644091367e-05,0.00011238300803847,"Ftl1",1
"Hexb",4.01447658651031e-78,2.23026477028351e-76,"Hexb",1
"Dck",4.87750021135305e-09,2.85233930488482e-08,"Dck",1
"Nfkbie",0.00140064591579548,0.00480496026001878,"Nfkbie",1
"Ddit3",0.171774785555249,0.370204279213899,"Ddit3",1
"Klf9",3.21010643183416e-35,6.05680458836634e-34,"Klf9",1
"Sh2d1b1",5.01824729971468e-08,2.66928047857164e-07,"Sh2d1b1",1
"Hcar2",0.642112880535466,0.977956213752432,"Hcar2",1
"Adgrl3",0.505084393802958,0.854626723862873,"Adgrl3",1
"Dok2",5.42593737719889e-17,5.00086394211879e-16,"Dok2",1
"Topbp1",0.847085925360861,0.999838547650833,"Topbp1",1
"Atp1a3",0.871072495750359,0.999838547650833,"Atp1a3",1
"Kif4",0.991988997953083,0.999838547650833,"Kif4",1
"Myo9a",3.22575600501048e-14,2.61194818219472e-13,"Myo9a",1
"Flna",0.000210897554445202,0.000815851274449526,"Flna",1
"Slamf9",4.42528018142725e-20,4.70774487385878e-19,"Slamf9",1
"Snrpd1",0.0529579214924377,0.132893153055051,"Snrpd1",1
"Furin",1.70567998503424e-06,7.91498832962523e-06,"Furin",1
"Grasp",0.0484264426925061,0.122909753026665,"Grasp",1
"Aurka",0.948816483071358,0.999838547650833,"Aurka",1
"Tppp3",0.769295542732731,0.999838547650833,"Tppp3",1
"Wwp1",1.84585202616743e-11,1.23882686319962e-10,"Wwp1",1
"Mef2c",3.71321021319035e-20,3.97134782159396e-19,"Mef2c",1
"Calml4",0.312442523419204,0.610835822911445,"Calml4",1
"Fignl1",0.739799499838814,0.999838547650833,"Fignl1",1
"Ifi27",0.000611271761792124,0.00221877227510753,"Ifi27",1
"Hvcn1",5.42888973556772e-07,2.63538336678045e-06,"Hvcn1",1
"Rab43",0.0192674303733474,0.0534464088026281,"Rab43",1
