"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rbm3",6.57968302732112e-267,1.534386627808,0.99,0.942,2.04318897047403e-262,"A","Rbm3"
"B2m",6.50526815344563e-235,-0.955483349403904,0.997,0.999,2.02008091968947e-230,"A","B2m"
"Lst1",1.54256646314106e-220,-2.03362565375631,0.752,0.958,4.79013163799193e-216,"A","Lst1"
"Rps18",4.96466625471205e-209,0.805597326640727,0.999,0.996,1.54167781207573e-204,"A","Rps18"
"H2-K1",1.20390074116723e-204,-1.14528985247766,0.996,0.999,3.73847297154661e-200,"A","H2-K1"
"H2-Ab1",2.54366710383938e-199,-2.77507817599366,0.823,0.967,7.89884945755242e-195,"A","H2-Ab1"
"Cirbp",1.13260732752399e-198,1.79586815131856,0.906,0.466,3.51708553416024e-194,"A","Cirbp"
"Rps23",1.25767511152683e-196,0.569275413628052,0.997,0.998,3.90545852382426e-192,"A","Rps23"
"Jaml",1.39901439027986e-196,2.4732982935821,0.816,0.284,4.34435938613604e-192,"A","Jaml"
"H2-Aa",1.52988804211825e-192,-2.69506516073483,0.788,0.957,4.75076133718979e-188,"A","H2-Aa"
"Rps25",4.59348504212182e-191,0.586915617054844,0.995,0.996,1.42641491013009e-186,"A","Rps25"
"Rpl3",1.11845226948711e-190,0.691644398730829,0.998,0.998,3.47312983243833e-186,"A","Rpl3"
"Fkbp5",3.9654786786805e-190,1.58994713856094,0.952,0.64,1.23140009409066e-185,"A","Fkbp5"
"Rpl32",4.78082256660489e-189,0.668592758037433,0.999,0.998,1.48458883160782e-184,"A","Rpl32"
"Rpl14",2.06369785539023e-188,0.712432410692017,0.995,0.997,6.40840095034329e-184,"A","Rpl14"
"Rps8",4.85271305158406e-182,0.552855644525795,0.999,1,1.5069129839084e-177,"A","Rps8"
"Rpl13",1.09827580324295e-174,0.585052646969359,1,0.999,3.41047585181034e-170,"A","Rpl13"
"Rps10",1.77881022788731e-173,0.536813705463171,0.998,1,5.52373940065846e-169,"A","Rps10"
"Rpl12",5.3324907175584e-171,0.615327510039397,1,0.993,1.65589834252341e-166,"A","Rpl12"
"H2-Eb1",9.47758833743118e-171,-2.69182069825753,0.778,0.942,2.9430755064225e-166,"A","H2-Eb1"
"Cd74",2.06848209512829e-170,-2.15589824809071,0.959,0.992,6.42325745000188e-166,"A","Cd74"
"Ctsl",1.3121827481712e-168,1.02778226140775,0.995,0.951,4.07472108789604e-164,"A","Ctsl"
"Rps13",5.29645171002959e-166,0.550801724581868,0.997,0.997,1.64470714951549e-161,"A","Rps13"
"Rps27a",2.99928889121102e-164,0.531733587231474,0.998,1,9.31369179387759e-160,"A","Rps27a"
"Rplp0",3.44128526985591e-164,0.706432472179784,0.999,0.999,1.06862231484835e-159,"A","Rplp0"
"Stat1",4.62063414600099e-163,-2.92089087444998,0.379,0.8,1.43484552135769e-158,"A","Stat1"
"Sdc3",4.02657193806023e-162,-2.5617328070444,0.647,0.903,1.25037138392584e-157,"A","Sdc3"
"Tpt1",7.34976110884858e-161,0.448665324307819,1,1,2.28232131713075e-156,"A","Tpt1"
"AW112010",7.12443155683038e-160,-2.22457961090232,0.766,0.941,2.21234973134254e-155,"A","AW112010"
"Rpl8",8.51646617388944e-160,0.565764661732614,1,0.996,2.64461824097789e-155,"A","Rpl8"
"Rpsa",6.2401216661075e-159,0.610465632321188,0.998,0.999,1.93774498097636e-154,"A","Rpsa"
"Rpl11",9.84578052546789e-159,0.567324440536597,0.999,0.998,3.05741022657355e-154,"A","Rpl11"
"Rps9",8.96448775639883e-157,0.529645202056787,0.997,1,2.78374238299453e-152,"A","Rps9"
"Rps19",9.81857094340377e-155,0.531658093577081,0.997,0.999,3.04896083505517e-150,"A","Rps19"
"Rpl23",1.35892873092412e-154,0.489812225497741,0.999,0.998,4.21988138813866e-150,"A","Rpl23"
"Rpl17",7.1579319838243e-154,0.524597531362144,0.997,0.998,2.22275261893696e-149,"A","Rpl17"
"Pla2g7",3.29738768576067e-152,1.07993116165185,0.982,0.879,1.02393779805926e-147,"A","Pla2g7"
"Rps2",8.9013334786341e-152,0.610661681531376,0.997,0.998,2.76413108512025e-147,"A","Rps2"
"Rpl10a",3.86220476428977e-151,0.566978121036432,0.998,0.996,1.1993304454549e-146,"A","Rpl10a"
"H2-T23",4.25724491280613e-151,-1.83970938279955,0.691,0.892,1.32200226277369e-146,"A","H2-T23"
"Rpl36",6.04542101913627e-150,0.524049405275659,0.997,0.997,1.87728458907239e-145,"A","Rpl36"
"Rpl30",7.35734730889443e-149,0.47709344619581,0.999,0.997,2.28467705983099e-144,"A","Rpl30"
"Rpl27a",9.44567412616389e-148,0.47242050995046,1,1,2.93316518639767e-143,"A","Rpl27a"
"Rps3a1",2.76477455343648e-147,0.487198463891757,0.998,0.999,8.5854544207863e-143,"A","Rps3a1"
"Rps6",4.27702469755664e-147,0.597227056353098,0.996,0.997,1.32814447933226e-142,"A","Rps6"
"Rps14",1.05339053694847e-145,0.447818396480352,0.998,0.999,3.2710936343861e-141,"A","Rps14"
"Tapbp",4.93472216976258e-145,-1.36201375363432,0.825,0.955,1.53237927537637e-140,"A","Tapbp"
"Rps16",5.01987686995822e-144,0.458854663736087,0.996,0.999,1.55882236442813e-139,"A","Rps16"
"Rps3",7.85890852272309e-144,0.53582001683057,0.999,0.996,2.4404268635612e-139,"A","Rps3"
"Aif1",1.27439208994226e-143,-1.02878504493242,0.968,0.982,3.95736975689771e-139,"A","Aif1"
"Ifi27l2a",5.45408101003845e-142,-2.09145335569541,0.709,0.909,1.69365577604724e-137,"A","Ifi27l2a"
"Ecm1",1.52765785096768e-138,1.35732208792699,0.906,0.58,4.74383592460994e-134,"A","Ecm1"
"Rpl35a",8.4224040427079e-137,0.415775303886964,0.999,1,2.61540912738208e-132,"A","Rpl35a"
"Bst2",1.98664139501845e-135,-1.40239446407088,0.897,0.971,6.1691175239508e-131,"A","Bst2"
"Rpl24",7.79764785238372e-135,0.509985272979685,0.995,0.996,2.42140358760072e-130,"A","Rpl24"
"Rnf213",4.59476198686396e-134,-2.33842653699007,0.393,0.762,1.42681143978087e-129,"A","Rnf213"
"H2-DMb1",4.6695865239005e-134,-1.61510930157032,0.842,0.943,1.45004670326682e-129,"A","H2-DMb1"
"Tmsb4x",1.66548514772631e-133,-0.486221987291719,1,1,5.1718310292345e-129,"A","Tmsb4x"
"Rpl34",2.90664628131445e-133,0.4720692476416,0.997,0.999,9.02600869736576e-129,"A","Rpl34"
"Lgals3bp",5.02841819865182e-133,-1.51540256238384,0.807,0.934,1.56147470322735e-128,"A","Lgals3bp"
"Rpl9",4.57336137649702e-132,0.499902954165206,0.998,0.996,1.42016590824362e-127,"A","Rpl9"
"Alox5ap",1.31499628584519e-130,0.986526224621227,0.986,0.866,4.08345796643507e-126,"A","Alox5ap"
"Rps15a",2.30935232735445e-129,0.490809370000312,0.997,0.999,7.17123178213378e-125,"A","Rps15a"
"Emb",2.46787132815001e-129,1.38801289310479,0.892,0.571,7.66348083530422e-125,"A","Emb"
"Rpl35",4.43760452292059e-129,0.516782156994402,0.992,0.993,1.37800933250253e-124,"A","Rpl35"
"Irf7",1.97629254808272e-128,-4.44061919156538,0.141,0.582,6.13698124956126e-124,"A","Irf7"
"Ly6e",4.67816919450537e-128,-1.38630695319016,0.962,0.979,1.45271187996975e-123,"A","Ly6e"
"Axl",8.41152944848083e-127,-1.06749189552304,0.898,0.969,2.61203223963675e-122,"A","Axl"
"Rpl18",8.41986591494115e-127,0.514674160602879,0.995,0.997,2.61462096256667e-122,"A","Rpl18"
"Rps4x",1.21749729112195e-126,0.4557870644957,0.997,0.999,3.78069433812099e-122,"A","Rps4x"
"Rps5",1.55479713619253e-126,0.48816551849225,0.999,0.997,4.82811154701867e-122,"A","Rps5"
"F13a1",1.05894148531207e-124,2.11256377646302,0.707,0.293,3.28833099433958e-120,"A","F13a1"
"Rtp4",2.5569378591266e-124,-3.30566899028885,0.129,0.58,7.94005913394583e-120,"A","Rtp4"
"Dynll1",1.21257395056036e-123,-1.1118085264262,0.804,0.948,3.76540588867509e-119,"A","Dynll1"
"Rpl36a",1.57591100378038e-122,0.547446993271359,0.995,0.989,4.89367644003922e-118,"A","Rpl36a"
"Rpl37",5.31513891611667e-120,0.432276982386626,1,0.998,1.65051008762171e-115,"A","Rpl37"
"Ciita",4.05795370958771e-118,-2.92885138477551,0.136,0.58,1.26011636543827e-113,"A","Ciita"
"Hexa",2.53090041006954e-117,-0.809617527943705,0.964,0.99,7.85920504338895e-113,"A","Hexa"
"Oasl2",1.14247912148443e-115,-3.20728691588512,0.146,0.569,3.54774041594559e-111,"A","Oasl2"
"Rps7",1.41977570304814e-114,0.497150286055019,0.999,0.996,4.40882949067538e-110,"A","Rps7"
"Msrb1",2.72430233209706e-113,0.856250637213532,0.984,0.932,8.45977603186101e-109,"A","Msrb1"
"Psmb9",2.81254888369118e-113,-1.28377950052637,0.699,0.895,8.73380804852623e-109,"A","Psmb9"
"Nr1h3",5.71656559964577e-113,-3.89985488286969,0.123,0.54,1.775165115658e-108,"A","Nr1h3"
"Hspa5",8.04846166477049e-112,-1.15275792064147,0.958,0.988,2.49928880076118e-107,"A","Hspa5"
"Psme2",1.52197961966101e-111,-1.22070640666195,0.785,0.911,4.72620331293332e-107,"A","Psme2"
"Rps29",6.64945049412804e-111,0.342208384087425,0.999,0.999,2.06485386194158e-106,"A","Rps29"
"Cd72",8.98943940408629e-110,-2.35714373416516,0.35,0.72,2.79149061815092e-105,"A","Cd72"
"Fcgr3",1.19861006558291e-108,0.590220785664521,0.991,0.988,3.72204383665462e-104,"A","Fcgr3"
"Tgm2",1.68029532868732e-107,-2.01116302111302,0.407,0.774,5.21782108417273e-103,"A","Tgm2"
"Adgre1",7.89730224500193e-107,-0.959453810979383,1,1,2.45234926614045e-102,"A","Adgre1"
"Csf1r",4.48492771047151e-106,-0.789142981388873,0.999,0.998,1.39270460193272e-101,"A","Csf1r"
"Rpl18a",8.00626087838345e-106,0.426326497515089,0.999,0.999,2.48618419056441e-101,"A","Rpl18a"
"Rpl38",1.61429162265474e-104,0.385530343121403,0.996,0.998,5.01285977582976e-100,"A","Rpl38"
"Mndal",4.70913360680379e-104,-1.76899971490477,0.555,0.816,1.46232725892078e-99,"A","Mndal"
"Isg15",6.8123473265399e-104,-3.66312375960941,0.147,0.543,2.11543821531044e-99,"A","Isg15"
"Gngt2",8.73665814921436e-104,-1.14234109162128,0.875,0.951,2.71299445507554e-99,"A","Gngt2"
"Ptprc",4.76614838754523e-103,-0.869202713255445,0.942,0.981,1.48003205878442e-98,"A","Ptprc"
"Calr",2.28029680385076e-102,-0.86688149227708,0.965,0.992,7.08100566499778e-98,"A","Calr"
"Cd5l",4.78558001091315e-102,-5.30382766825342,0.091,0.485,1.48606616078886e-97,"A","Cd5l"
"H2-DMa",6.24364293324999e-102,-1.0150964057538,0.937,0.978,1.93883844006212e-97,"A","H2-DMa"
"Hp",2.89927732080463e-101,2.34566337602109,0.516,0.148,9.00312586429463e-97,"A","Hp"
"Rpl19",3.19668408993649e-101,0.373724536489895,0.999,0.999,9.92666310447979e-97,"A","Rpl19"
"Rplp2",8.40661145474941e-101,0.351024795857601,0.998,0.998,2.61050505504333e-96,"A","Rplp2"
"Rpl39",1.084648185254e-100,0.403511232022285,0.999,0.997,3.36815800966926e-96,"A","Rpl39"
"Eps8",1.89679331265314e-100,1.39727266443691,0.795,0.443,5.89011227378179e-96,"A","Eps8"
"Rps24",2.03218045274476e-100,0.357641237162714,0.999,1,6.31052995990831e-96,"A","Rps24"
"Itga9",1.71310129661382e-98,-2.23919644223858,0.282,0.644,5.31969345637489e-94,"A","Itga9"
"Fyb",3.73718742083148e-98,-0.939909125546408,0.946,0.97,1.1605088097908e-93,"A","Fyb"
"Ywhah",5.31222703611165e-98,-0.965522482822893,0.82,0.938,1.64960586152375e-93,"A","Ywhah"
"Cd33",5.87758447077069e-98,1.09278849570923,0.903,0.647,1.82516630570842e-93,"A","Cd33"
"Trim30a",2.01046700502862e-97,-1.7603428848785,0.506,0.786,6.24310319071538e-93,"A","Trim30a"
"H2-Q7",3.31531223627995e-97,-2.03045544121913,0.3,0.679,1.02950390873201e-92,"A","H2-Q7"
"Serf2",7.45138190593575e-97,-0.485059349628497,0.995,0.998,2.31387762325023e-92,"A","Serf2"
"Klf9",1.36806537948652e-96,1.13479407349656,0.852,0.481,4.2482534229195e-92,"A","Klf9"
"Rpl29",1.6976060427591e-95,0.459765837056914,0.995,0.992,5.27157604457984e-91,"A","Rpl29"
"Rpl6",2.07418860543065e-95,0.38749215077182,0.998,0.998,6.4409778764438e-91,"A","Rpl6"
"Mt1",2.88856350991155e-95,0.896320507787086,0.992,0.952,8.96985626732834e-91,"A","Mt1"
"Tmbim6",5.49646120240089e-95,-0.625928107741197,0.98,0.988,1.70681609718155e-90,"A","Tmbim6"
"Rpl26",7.19760879040621e-95,0.375659199169632,0.998,0.999,2.23507345768484e-90,"A","Rpl26"
"mt-Atp6",7.56309701185203e-95,0.33924206501279,0.999,1,2.34856851509041e-90,"A","mt-Atp6"
"Rps27",2.32845698964762e-94,0.435822993091896,0.997,0.995,7.23055748995275e-90,"A","Rps27"
"Lpl",2.83680516623222e-94,-2.5614998154556,0.293,0.658,8.80913108270093e-90,"A","Lpl"
"Klhl6",1.1731399309392e-93,1.27585724573867,0.837,0.565,3.6429514275455e-89,"A","Klhl6"
"Rpl5",1.46965710549653e-93,0.41466364990287,0.996,0.998,4.56372620969839e-89,"A","Rpl5"
"Rpl15",2.38465047137935e-93,0.442203301531643,0.996,0.995,7.4050551087743e-89,"A","Rpl15"
"Pilra",2.38721780342614e-93,-1.25802484150503,0.619,0.854,7.41302744497919e-89,"A","Pilra"
"Ccr1",4.10332917434322e-93,0.970021345891537,0.934,0.708,1.2742068085088e-88,"A","Ccr1"
"Rplp1",2.37205753661125e-92,0.301571505316604,1,1,7.36595026843892e-88,"A","Rplp1"
"Serinc3",1.97332192429971e-91,0.63137819556648,0.995,0.995,6.12775657152789e-87,"A","Serinc3"
"Rpl4",4.97776115522338e-90,0.487127750080327,0.995,0.987,1.54574417153152e-85,"A","Rpl4"
"Socs3",3.90578900416412e-89,1.32947577204201,0.888,0.65,1.21286465946308e-84,"A","Socs3"
"Gda",4.22404192617987e-89,1.01438735960993,0.882,0.578,1.31169173933663e-84,"A","Gda"
"Hck",1.0999297189539e-88,-1.01734655292496,0.773,0.913,3.41561175626755e-84,"A","Hck"
"Gpx4",2.21512300960409e-88,0.577082407587198,0.988,0.959,6.87862148172359e-84,"A","Gpx4"
"Tlr12",8.74908895037197e-88,-3.15666214398987,0.103,0.465,2.71685459175901e-83,"A","Tlr12"
"Fgl2",2.59341053571849e-87,-1.67600850786485,0.44,0.746,8.05331773656662e-83,"A","Fgl2"
"Gbp2",3.66919132674661e-87,-3.14432171490132,0.179,0.533,1.13939398269463e-82,"A","Gbp2"
"Rps17",2.39185462651268e-86,0.429687509607867,0.993,0.995,7.42742617170983e-82,"A","Rps17"
"Mgst1",5.49430011232772e-86,1.17140647063232,0.839,0.576,1.70614501388113e-81,"A","Mgst1"
"Eef1b2",8.53308737024967e-86,0.465322323044798,0.995,0.993,2.64977962108363e-81,"A","Eef1b2"
"Grb2",1.79834957077319e-85,-0.78043028523768,0.897,0.959,5.58441492212198e-81,"A","Grb2"
"Slfn5",4.95963342340627e-85,-2.21353694541433,0.36,0.659,1.54011496697035e-80,"A","Slfn5"
"Rps12",8.3771697104722e-85,0.312284386835621,1,0.999,2.60136251019293e-80,"A","Rps12"
"Mpeg1",2.09363120725505e-83,-0.63888416498682,0.99,0.998,6.50135298788912e-79,"A","Mpeg1"
"Pltp",2.26056591380703e-83,-1.87406880825447,0.568,0.799,7.01973533214498e-79,"A","Pltp"
"Sult1a1",4.82282070893118e-83,1.59735266452998,0.659,0.33,1.4976305147444e-78,"A","Sult1a1"
"Ctsc",6.73832494946256e-82,-0.567590027614128,0.992,0.999,2.09245204655661e-77,"A","Ctsc"
"Ly6a",8.49184362921328e-82,-4.18930903810492,0.111,0.458,2.6369722021796e-77,"A","Ly6a"
"Ifi203",9.41747634241963e-82,-1.49637399174251,0.543,0.792,2.92440892861157e-77,"A","Ifi203"
"Hsp90b1",1.95845053791845e-81,-0.778205444750905,0.962,0.987,6.08157645539815e-77,"A","Hsp90b1"
"Fau",4.12807560472778e-81,0.304369381161785,1,0.999,1.28189131753612e-76,"A","Fau"
"Zbp1",2.2898612320317e-80,-2.21235000871314,0.254,0.579,7.11070608382803e-76,"A","Zbp1"
"Pea15a",5.08788463056362e-80,-1.34665983988861,0.509,0.792,1.57994081432892e-75,"A","Pea15a"
"Cd300a",7.24334817834591e-80,-1.05471116178867,0.805,0.91,2.24927690982175e-75,"A","Cd300a"
"Cox4i1",2.21925807616212e-79,0.361883716687185,0.998,0.994,6.89146210390624e-75,"A","Cox4i1"
"Myo1f",3.02427856084443e-79,-1.14605711966208,0.659,0.848,9.39129221499022e-75,"A","Myo1f"
"Rps20",5.23687264362552e-79,0.333229010048488,0.999,0.999,1.62620606202503e-74,"A","Rps20"
"Clec4f",2.18501169174694e-78,-4.70604793451782,0.089,0.424,6.78511680638177e-74,"A","Clec4f"
"Igf1",2.45098089336411e-78,-1.60489313037441,0.444,0.734,7.61103096816356e-74,"A","Igf1"
"Tap1",3.46139416844829e-78,-1.38797727102909,0.569,0.788,1.07486673112825e-73,"A","Tap1"
"Clec12a",5.7786377965227e-78,-1.01192143047214,0.749,0.901,1.79444039495419e-73,"A","Clec12a"
"Ifi47",1.07632574003777e-77,-2.41834012587832,0.27,0.586,3.3423143205393e-73,"A","Ifi47"
"Psme1",2.91983997692221e-77,-0.701064912518328,0.927,0.965,9.06697908033655e-73,"A","Psme1"
"Marcks",3.37527744216705e-77,-0.74010210290628,0.971,0.99,1.04812490411613e-72,"A","Marcks"
"Ifngr1",1.10757453735049e-76,0.641756453211189,0.98,0.953,3.43935121083448e-72,"A","Ifngr1"
"Tgfbi",1.34129595484583e-76,0.687211216996671,0.991,0.946,4.16512632858274e-72,"A","Tgfbi"
"Itgam",3.77374618515553e-76,0.956756968825668,0.896,0.704,1.17186140287635e-71,"A","Itgam"
"Lsp1",3.78009745193642e-76,1.12149060523288,0.784,0.483,1.17383366174982e-71,"A","Lsp1"
"Fam26f",8.62740293729919e-76,-2.60991376973503,0.206,0.532,2.67906743411952e-71,"A","Fam26f"
"Evl",3.1921239952681e-75,-1.24703276752899,0.614,0.82,9.91250264250602e-71,"A","Evl"
"Lifr",3.47260014120864e-75,1.4812511632795,0.678,0.379,1.07834652184952e-70,"A","Lifr"
"Slamf8",8.9317325792745e-75,-2.83812373691678,0.153,0.484,2.77357091784211e-70,"A","Slamf8"
"H2-D1",3.5334057625867e-74,-0.498327999146479,0.999,0.999,1.09722849145605e-69,"A","H2-D1"
"Unc93b1",3.62411795695198e-74,-0.513513452190502,0.987,0.996,1.1253973491723e-69,"A","Unc93b1"
"Ifit3",5.76760787943349e-74,-4.79484872280411,0.041,0.344,1.79101527480048e-69,"A","Ifit3"
"Ifit2",5.89164035707788e-74,-4.86522587053489,0.03,0.33,1.82953108008339e-69,"A","Ifit2"
"Itgal",6.42647959929912e-74,-1.73963113102516,0.565,0.778,1.99561470997035e-69,"A","Itgal"
"S100a10",9.35708383278891e-74,1.0432737066809,0.86,0.584,2.90565524259594e-69,"A","S100a10"
"Ogfrl1",2.46171079851372e-73,0.918124481926105,0.893,0.661,7.64435054262464e-69,"A","Ogfrl1"
"Fn1",3.86082611728227e-73,1.10381989581006,0.711,0.373,1.19890233419966e-68,"A","Fn1"
"Rps28",6.19775491884778e-73,0.330606050165773,0.993,0.995,1.9245888349498e-68,"A","Rps28"
"Rpl37a",8.80296220596014e-73,0.275660906801782,0.997,0.999,2.7335838538168e-68,"A","Rpl37a"
"Rpl28",9.2820365173921e-73,0.346015494357556,0.998,0.997,2.88235079974577e-68,"A","Rpl28"
"Naca",1.70622559950803e-72,0.39978001194856,0.996,0.992,5.29834235415229e-68,"A","Naca"
"Gbp3",5.27879776687304e-72,-1.90675391622525,0.338,0.632,1.63922507054708e-67,"A","Gbp3"
"Adam17",2.56563320789184e-71,-1.2136077503415,0.571,0.8,7.96706080046652e-67,"A","Adam17"
"Batf3",2.97539602749239e-71,-1.72055679925414,0.312,0.62,9.23949728417212e-67,"A","Batf3"
"Acp2",6.89709026080551e-71,-1.25147942311146,0.642,0.822,2.14175343868793e-66,"A","Acp2"
"Psap",7.06460829616134e-71,-0.607794191961254,0.998,1,2.19377281420698e-66,"A","Psap"
"Sh3bgrl3",1.30276688559222e-70,0.451345548395514,0.994,0.992,4.04548200982952e-66,"A","Sh3bgrl3"
"Calm1",2.01020034600304e-70,-0.581653143621997,0.989,0.996,6.24227513444323e-66,"A","Calm1"
"Trem2",2.05621656760933e-70,0.594484490916058,0.984,0.924,6.38516930739726e-66,"A","Trem2"
"Treml4",3.27491941670179e-70,-2.88761022766318,0.106,0.42,1.01696072646841e-65,"A","Treml4"
"Adgre4",3.77931672320086e-70,-3.73613311246383,0.061,0.36,1.17359122205556e-65,"A","Adgre4"
"Plbd1",1.95272564531296e-69,-1.37681645001709,0.588,0.782,6.06379894639034e-65,"A","Plbd1"
"Ly86",1.36094211154466e-68,-0.533985930560033,0.982,0.995,4.22613353897964e-64,"A","Ly86"
"Sp100",1.37067883397105e-68,-1.39823649558601,0.514,0.735,4.25636898313031e-64,"A","Sp100"
"Irgm1",2.16651484265088e-68,-2.01488853098104,0.229,0.548,6.72767854088377e-64,"A","Irgm1"
"Fcgr1",3.20397637586415e-68,-0.822223328216497,0.865,0.941,9.94930783997093e-64,"A","Fcgr1"
"Rpl10",3.59475247907555e-68,0.348779993724032,0.998,0.997,1.11627848732733e-63,"A","Rpl10"
"Fcer1g",4.60688448766364e-68,-0.310437975754132,0.999,0.999,1.43057583995419e-63,"A","Fcer1g"
"Tmcc3",8.32786203155758e-68,-1.22999333406008,0.614,0.812,2.58605099665958e-63,"A","Tmcc3"
"Oas1a",9.28958330177572e-68,-2.14608867180068,0.189,0.501,2.88469430270041e-63,"A","Oas1a"
"Itm2b",9.94402840136629e-68,-0.491111765763293,1,0.999,3.08791913947628e-63,"A","Itm2b"
"Oas3",1.01862009672841e-67,-3.99653704343101,0.039,0.324,3.16312098637074e-63,"A","Oas3"
"Hsp90aa1",1.79176185286677e-67,-0.878383245618983,0.853,0.937,5.56395808170719e-63,"A","Hsp90aa1"
"Pilrb2",2.4375077654096e-67,-1.73749472881865,0.276,0.584,7.56919286392642e-63,"A","Pilrb2"
"Dck",4.30992381618638e-67,-1.98365643770629,0.228,0.534,1.33836064264036e-62,"A","Dck"
"Pfn1",5.35582778297082e-67,-0.440056458897879,0.997,0.999,1.66314520144593e-62,"A","Pfn1"
"Ier3",6.98934037572262e-67,1.08339883449974,0.954,0.845,2.17039986687314e-62,"A","Ier3"
"Parp14",8.41580818270126e-67,-1.71106840139856,0.412,0.669,2.61336091497422e-62,"A","Parp14"
"Ltc4s",1.62749945692921e-66,1.40097520983943,0.632,0.316,5.05387406360229e-62,"A","Ltc4s"
"Lcp1",7.97854869867068e-66,-0.577211247089647,0.98,0.987,2.47757872739821e-61,"A","Lcp1"
"Ifi206",1.17943948611824e-65,-4.02431512035244,0.028,0.303,3.66251343624296e-61,"A","Ifi206"
"Adamtsl4",1.27714582861363e-65,1.87882478775577,0.425,0.143,3.96592094159391e-61,"A","Adamtsl4"
"AY036118",1.55674068688765e-65,0.809038379951208,0.927,0.642,4.83414685499221e-61,"A","AY036118"
"H3f3a",4.54560502406556e-65,0.361123930304265,0.995,0.997,1.41154672812308e-60,"A","H3f3a"
"Rps21",8.7834688377393e-65,0.269645933083654,0.996,0.997,2.72753057818318e-60,"A","Rps21"
"Psmb8",2.56231830812801e-64,-0.698400757157817,0.947,0.961,7.95676704222991e-60,"A","Psmb8"
"Rpl7a",5.37857431336658e-64,0.348179864858568,0.998,0.991,1.67020868152973e-59,"A","Rpl7a"
"Serpina3g",8.03642590043519e-64,-5.46846887096861,0.03,0.297,2.49555133486214e-59,"A","Serpina3g"
"Rps11",8.47785698176174e-64,0.298272749965357,0.998,0.998,2.63262892854647e-59,"A","Rps11"
"Ldhb",1.1425883119135e-63,1.26896830517665,0.683,0.398,3.54807948498498e-59,"A","Ldhb"
"Cd52",5.30233567065337e-63,-0.555664686639733,0.995,0.996,1.64653429580799e-58,"A","Cd52"
"Ddit4",6.49901854265866e-63,1.74479870310025,0.473,0.182,2.01814022805179e-58,"A","Ddit4"
"Ssr4",6.53867373333054e-63,0.467995404852866,0.983,0.959,2.03045435441113e-58,"A","Ssr4"
"Ifi213",8.50786806452038e-63,-3.37475783814456,0.047,0.324,2.64194827007551e-58,"A","Ifi213"
"Rack1",8.52031199220555e-63,0.303071676065661,0.996,0.997,2.64581248293959e-58,"A","Rack1"
"Dmpk",1.60871287495171e-62,-3.14503989022851,0.064,0.344,4.99553609058755e-58,"A","Dmpk"
"Ifi211",3.46142346127851e-62,-2.2568492520358,0.175,0.477,1.07487582743082e-57,"A","Ifi211"
"Gbp8",3.46288590994762e-62,-1.62281141637213,0.329,0.607,1.07532996161604e-57,"A","Gbp8"
"Ckb",3.70603779870844e-62,-1.0575588693888,0.705,0.865,1.15083591763293e-57,"A","Ckb"
"Cd44",4.51202479599373e-62,-1.12727334952864,0.763,0.88,1.40111905989993e-57,"A","Cd44"
"Eif3i",6.25946694486785e-62,0.633833771787036,0.932,0.865,1.94375227038981e-57,"A","Eif3i"
"Basp1",7.15157712233846e-62,-1.39125723639158,0.52,0.748,2.22077924379976e-57,"A","Basp1"
"Tmem51",8.74489835569238e-62,-1.35067401333812,0.4,0.67,2.71555328639315e-57,"A","Tmem51"
"Pilrb1",1.01143215699247e-61,-2.39949012816506,0.145,0.436,3.14080027710873e-57,"A","Pilrb1"
"Hint1",1.16838841488172e-61,0.445205235597784,0.991,0.971,3.6281965447322e-57,"A","Hint1"
"Rpl22l1",1.2504876135134e-61,0.543486592295416,0.977,0.961,3.88313918624316e-57,"A","Rpl22l1"
"Oas2",1.75047729595413e-61,-2.87134217609578,0.079,0.362,5.43575714712637e-57,"A","Oas2"
"Ctsb",2.40620215016382e-61,-0.595999556235339,0.999,1,7.4719795369037e-57,"A","Ctsb"
"Lipa",2.79163779749423e-61,-0.918469668192289,0.822,0.908,8.66887285255882e-57,"A","Lipa"
"Btf3",5.49840454082865e-61,0.415975432211594,0.991,0.983,1.70741956206352e-56,"A","Btf3"
"Camk2n1",7.02460042805521e-61,2.09376836321282,0.371,0.115,2.18134917092398e-56,"A","Camk2n1"
"Rpl31",1.7356786443576e-60,0.372586028176644,0.992,0.99,5.38980289432367e-56,"A","Rpl31"
"Tomm20",1.86158948847905e-60,0.568967807058801,0.971,0.909,5.780793838574e-56,"A","Tomm20"
"Helz2",2.15923913225263e-60,-2.90573605962669,0.103,0.383,6.70508527738409e-56,"A","Helz2"
"Ifitm3",4.60009380696564e-60,-1.30510699863629,0.825,0.917,1.42846712987704e-55,"A","Ifitm3"
"Dtx3l",5.3264659897407e-60,-1.50248573841283,0.359,0.641,1.65402748379418e-55,"A","Dtx3l"
"Smim4",1.14127095254674e-59,0.953068864027728,0.783,0.558,3.5439886889434e-55,"A","Smim4"
"Xaf1",1.19498055765542e-59,-2.05301878973353,0.196,0.489,3.71077312568736e-55,"A","Xaf1"
"Slco2b1",2.01170895825383e-59,1.24204249045742,0.61,0.308,6.24695982806561e-55,"A","Slco2b1"
"Lrp1",4.7882413688711e-59,0.532456953387334,0.986,0.946,1.48689259227554e-54,"A","Lrp1"
"Rpl7",7.69848028510603e-59,0.279533343710148,0.994,1,2.39060908293397e-54,"A","Rpl7"
