"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Bora.1",0.00889724827785065,-0.948848110553854,0.066,0.102,1,"C","Bora"
"Smim8",0.00889805904385537,-0.474292519287284,0.208,0.256,1,"C","Smim8"
"Gm14302",0.00889971113379225,1.07431877803684,0.025,0.01,1,"C","Gm14302"
"Ndufb3",0.0089240474567482,-0.141527285715275,0.83,0.843,1,"C","Ndufb3"
"Ube2t.1",0.00894328444041931,-0.830982269069785,0.035,0.065,1,"C","Ube2t"
"Slc25a16.2",0.00896003876259029,-0.391374071839989,0.156,0.202,1,"C","Slc25a16"
"Sbk2",0.00897028091513794,1.78896228911566,0.013,0.004,1,"C","Sbk2"
"Spata2.1",0.00897559968996189,0.411376339033205,0.291,0.235,1,"C","Spata2"
"Ccdc58",0.00898233889431854,-0.355246569596767,0.204,0.258,1,"C","Ccdc58"
"Urb1.1",0.00899190769038322,-0.593779428943977,0.058,0.094,1,"C","Urb1"
"Rilp",0.00900338727967496,0.869398541289172,0.069,0.043,1,"C","Rilp"
"Zfp593.2",0.00901142633268756,-0.240189324791474,0.295,0.364,1,"C","Zfp593"
"Slc6a8.2",0.00902691908716186,0.54211281376026,0.189,0.145,1,"C","Slc6a8"
"Tmco6.1",0.00905799419498165,0.590131591709227,0.119,0.084,1,"C","Tmco6"
"Gm6116",0.00906722568365727,1.66945825646753,0.013,0.004,1,"C","Gm6116"
"Ccdc71",0.00907803632063701,0.33359550884674,0.227,0.177,1,"C","Ccdc71"
"Zfp422.2",0.00912458171892055,-0.244430200381176,0.15,0.198,1,"C","Zfp422"
"Etv5.1",0.00912960414365373,-0.120130553623214,0.32,0.377,1,"C","Etv5"
"Rnf167",0.0091348632581531,0.283961271681702,0.376,0.316,1,"C","Rnf167"
"Mlkl.2",0.00914181559691335,0.285887648789915,0.258,0.204,1,"C","Mlkl"
"Bcor",0.00914861295912047,-0.299845806691856,0.289,0.34,1,"C","Bcor"
"Prc1.2",0.00916183898105691,-1.6299648614973,0.033,0.061,1,"C","Prc1"
"Ifitm6.2",0.00917022021726923,0.355028561586083,0.195,0.147,1,"C","Ifitm6"
"Atf7ip.1",0.00917903647109361,0.228075210946122,0.588,0.52,1,"C","Atf7ip"
